disease;term_count
dextro-Transposition of the great arteries;15
Dextrocardia;1
Dhat syndrome;11
Diabetes insipidus;19
Diabetes mellitus;49
Diabetes mellitus and deafness;7
Diabetes mellitus type 1;30
Diabetes mellitus type 2;31
Diabetic angiopathy;5
Diabetic cardiomyopathy;9
Diabetic dermopathy;2
Diabetic foot ulcer;4
Diabetic ketoacidosis;35
Diabetic nephropathy;15
Diabetic neuropathy;23
Diabetic retinopathy;17
Diamond–Blackfan anemia;2
Diaphragmatic rupture;10
Diarrhea;8
Diastasis recti;4
Diastasis symphysis pubis;4
Diastematomyelia;17
Diastolic heart failure;10
Diastrophic dysplasia;3
Dicarboxylic aminoaciduria;2
Dientamoebiasis;12
Diesel engine runaway;1
Diet Coke and Mentos eruption;1
Dieulafoy's lesion;9
Diffuse alveolar damage;1
Diffuse axonal injury;4
Diffuse esophageal spasm;4
Diffuse idiopathic skeletal hyperostosis;10
Diffuse lamellar keratitis;4
Diffuse large B-cell lymphoma;3
Diffuse myelinoclastic sclerosis;10
Diffuse panbronchiolitis;18
Diffusion of responsibility;5
DiGeorge syndrome;33
Digoxin toxicity;23
Dilated cardiomyopathy;20
Diphallia;1
Diphtheria;23
Diphyllobothriasis;8
Diplopia;7
Directed attention fatigue;10
Dirofilariasis;1
Dirty thunderstorm;3
Discitis;7
Disease;7
Disease in ornamental fish;5
Disinflation;1
Dislocated shoulder;8
Dislocation of jaw;15
Disorder of written expression;2
Disorganized schizophrenia;6
Disseminated intravascular coagulation;12
Dissociative identity disorder;29
Distal intestinal obstruction syndrome;5
Distal radius fracture;12
Distal renal tubular acidosis;16
Distal spinal muscular atrophy type 1;11
Distributive shock;5
Diurnal enuresis;2
Diverticulitis;12
Diverticulosis;19
Dizziness;18
Domestic violence;13
Donnai–Barrow syndrome;1
Donohue syndrome;4
DOOR syndrome;5
Dopamine beta hydroxylase deficiency;16
Dopamine dysregulation syndrome;13
Double aortic arch;14
Down syndrome;43
Dracunculiasis;12
Dravet syndrome;20
Dressler syndrome;7
Drooling;6
Drowning;17
Drug allergy;12
Drug overdose;7
Drug-induced angioedema;4
Drug-induced lupus erythematosus;6
Drug-induced pigmentation;1
Drusen;1
Dry eye syndrome;16
Dual diagnosis;3
Duane syndrome;7
Duane-radial ray syndrome;8
Dubin–Johnson syndrome;1
Dubowitz syndrome;5
Duchenne muscular dystrophy;24
Duct ectasia of breast;4
Ductal carcinoma in situ;4
Dukes' disease;14
Dumping syndrome;15
Duodenal atresia;3
Duodenal cancer;6
Duodenitis;9
Dupuytren's contracture;6
Dust storm;1
Dwarfism;17
Dysarthria;17
Dysautonomia;29
Dyscalculia;11
Dyschronometria;7
Dysembryoplastic neuroepithelial tumour;4
Dysentery;21
Dysgerminoma;1
Dysgraphia;8
Dyshidrosis;3
Dyslexia;18
Dysmelia;3
Dysmenorrhea;17
Dysmetria;8
Dyspareunia;29
Dysplastic nevus syndrome;1
Dysthymia;20
Dystonia;28
Eagle syndrome;7
Eales disease;3
Ear pain;56
EAST syndrome;15
Eating disorder;57
Eating disorder not otherwise specified;1
Ebola virus disease;37
Ebstein's anomaly;3
Ecchymosis;5
Echinococcosis;21
Echolalia;6
Eclampsia;34
Economic inequality;3
Ecthyma gangrenosum;12
Ectodermal dysplasia;5
Ectopic pregnancy;24
Ectrodactyly;2
Ectrodactyly–ectodermal dysplasia–cleft syndrome;6
Ectropion;1
Eczema vaccinatum;1
Edentulism;10
Edwards syndrome;7
Effects of long-term benzodiazepine use;36
Egg allergy;23
Ego-dystonic sexual orientation;2
Ehlers–Danlos syndromes;45
Ehrlichiosis;7
Ehrlichiosis (canine);18
Ehrlichiosis ewingii infection;6
Eisenmenger's syndrome;13
Ejaculatory duct obstruction;9
Elastofibroma dorsi;2
Elbow dysplasia;2
Ellis–van Creveld syndrome;4
Embryonal carcinoma;6
Emery–Dreifuss muscular dystrophy;7
Emphysematous cystitis;14
Empty sella syndrome;3
Enamel hypoplasia;1
Encephalitis;23
Encephalitis lethargica;18
Encephalocele;9
Encephalopathy;42
Enchondroma;4
Encopresis;6
Endocardial fibroelastosis;2
Endodermal sinus tumor;1
Endolymphatic hydrops;5
Endometrial cancer;18
Endometrial hyperplasia;3
Endometrial intraepithelial neoplasia;1
Endometrial polyp;11
Endometriosis;39
Endophthalmitis;4
Endosalpingiosis;10
Enlarged vestibular aqueduct;3
Enolase deficiency;5
Enteric duplication cyst;6
Enteric neuropathy;10
Enteritis;22
Enterocolitis;2
Enterotoxigenic Escherichia coli;8
Enthesopathy;3
Entropion;7
Enuresis;26
Environmental enteropathy;7
Eosinophilia;8
Eosinophilic cellulitis;3
Eosinophilic esophagitis;10
Eosinophilic fasciitis;4
Eosinophilic folliculitis;2
Eosinophilic gastroenteritis;22
Eosinophilic granulomatosis with polyangiitis;18
Eosinophilic pneumonia;16
Eosinophilic ulcer of the oral mucosa;1
Ependymoma;6
Epidemic typhus;11
Epidermodysplasia verruciformis;6
Epidermoid cyst;3
Epidermolysis bullosa dystrophica;8
Epidermolysis bullosa simplex;3
Epidermolytic hyperkeratosis;7
Epididymitis;22
Epidural hematoma;14
Epiglottitis;14
Epilepsia partialis continua;12
Epilepsy;53
Epilepsy-intellectual disability in females;23
Epileptic seizure;51
Epileptic spasms;15
Epiretinal membrane;2
Episcleritis;9
Episodic ataxia;2
Epithelial basement membrane dystrophy;2
Epithelial-myoepithelial carcinoma;1
Epithelioid sarcoma;7
Epizootic lymphangitis;4
Epulis fissuratum;6
Equine exertional rhabdomyolysis;10
Equine influenza;1
Equine polysaccharide storage myopathy;1
Equine protozoal myeloencephalitis;8
Equine recurrent uveitis;2
Equine shivers;1
Equine viral arteritis;6
Erb's palsy;14
Erdheim–Chester disease;10
Erectile dysfunction;16
Erethism;20
Ergotism;13
Erotomania;5
Eruptive vellus hair cyst;1
Erysipelas;30
Erythema;5
Erythema ab igne;7
Erythema annulare centrifugum;10
Erythema chronicum migrans;6
Erythema marginatum;8
Erythema multiforme;13
Erythema nodosum;29
Erythema toxicum neonatorum;5
Erythrasma;7
Erythroderma;2
Erythromelalgia;7
Erythroplakia;5
Erythropoietic porphyria;3
Erythropoietic protoporphyria;10
Esophageal achalasia;16
Esophageal atresia;7
Esophageal cancer;31
Esophageal candidiasis;6
Esophageal food bolus obstruction;5
Esophageal motility disorder;2
Esophageal stricture;9
Esophageal web;5
Esophagitis;19
Essential thrombocythemia;16
Essential thrombocytosis;16
Essential tremor;19
Esthesioneuroblastoma;9
Ethylene glycol poisoning;25
Ethylmalonic encephalopathy;7
Eumycetoma;7
Euthyroid sick syndrome;17
Evans syndrome;6
Ewing's sarcoma;9
Excessive daytime sleepiness;14
Excoriation disorder;14
Exercise intolerance;23
Exercise-induced bronchoconstriction;13
Exocrine pancreatic insufficiency;19
Exophoria;2
Exophthalmos;11
Exotropia;9
Explosion;1
Expressive aphasia;18
Extinction event;8
Extramammary Paget's disease;12
Extrapyramidal symptoms;13
Eye neoplasm;9
Eye strain;4
Fabry disease;27
Facial nerve paralysis;25
Facial trauma;7
Facioscapulohumeral muscular dystrophy;10
Factitious disorder;2
Factitious disorder imposed on self;23
Factor V Leiden;1
Fahr's syndrome;10
Failed back syndrome;7
Fallopian tube cancer;9
Fallopian tube obstruction;3
Falls in older adults;20
False pregnancy;10
Familial adenomatous polyposis;9
Familial atrial fibrillation;9
Familial dysautonomia;10
Familial dysbetalipoproteinemia;4
Familial exudative vitreoretinopathy;1
Familial hemiplegic migraine;19
Familial hypercholesterolemia;15
Familial hypocalciuric hypercalcemia;4
Familial Mediterranean fever;14
Fanconi anemia;8
Fanconi syndrome;13
Far-sightedness;13
Farber disease;6
Farmer's lung;7
Fasciolopsiasis;8
Fasciolosis;35
Fat embolism;21
Fatal insomnia;18
Fatty liver;19
Fatty-acid metabolism disorder;1
Favid;3
Favus;3
Fazio–Londe disease;6
Feather-plucking;12
Febrile neutrophilic dermatosis;16
Febrile seizure;16
Fecal impaction;12
Fecal incontinence;54
Fecalith;1
Feline asthma;9
Felty's syndrome;28
Female athlete triad;17
Female infertility;7
Female sexual arousal disorder;13
Femoral hernia;12
Fetal adenocarcinoma;4
Fetal alcohol spectrum disorder;31
Fetal distress;7
Fetal hydantoin syndrome;4
Fetal thrombotic vasculopathy;1
Fetal warfarin syndrome;25
Fetal-maternal haemorrhage;2
Fever of unknown origin;55
Fibrinolysis syndrome;1
Fibroadenoma;2
Fibrocartilaginous mesenchymoma of bone;3
Fibrocystic breast changes;11
Fibrodysplasia ossificans progressiva;3
Fibrolamellar hepatocellular carcinoma;13
Fibromatosis;1
Fibromyalgia;39
Fibropapillomatosis;2
Fibrothorax;13
Fibrous dysplasia of bone;10
Fiddler's neck;16
Fifth disease;12
Filariasis;13
Fin rot;1
Finger agnosia;1
Fire blight;3
Fire breather's pneumonia;10
First-degree atrioventricular block;4
Fish acute toxicity syndrome;10
Fistula;1
Fitz-Hugh–Curtis syndrome;11
Fixed drug reaction;1
Flaccid paralysis;20
Flail chest;6
Flash blindness;1
Flat feet;11
Flea allergy dermatitis;1
Floater;13
Floating–Harbor syndrome;19
Flock worker's lung;6
Florid cutaneous papillomatosis;7
Flynn–Aird syndrome;18
Focal dystonia;4
Focal facial dermal dysplasia;5
Focal nodular hyperplasia;2
Focal segmental glomerulosclerosis;12
Folate deficiency;24
Folie à deux;2
Follicle-stimulating hormone insensitivity;4
Follicular cyst of ovary;5
Follicular hyperplasia;2
Follicular lymphoma;1
Folliculitis;11
Food allergy;31
Food craving;2
Food intolerance;27
Foot drop;9
Fournier gangrene;10
Foville's syndrome;3
Fox–Fordyce disease;3
Fragile X syndrome;32
Fragile X-associated tremor/ataxia syndrome;13
Fraser syndrome;9
Freeman–Sheldon syndrome;5
Fregoli delusion;11
Frey's syndrome;10
Friedreich's ataxia;23
Frontal lobe disorder;24
Frontonasal dysplasia;9
Frontotemporal dementia;20
Frontotemporal lobar degeneration;4
Fructose bisphosphatase deficiency;5
Fructose malabsorption;7
Fuchs spot;2
Fuchs' dystrophy;9
Fucosidosis;7
Fugue state;13
Fukuyama congenital muscular dystrophy;1
Fumarase deficiency;10
Fungal keratitis;1
Fungal meningitis;10
Fungal sinusitis;2
Fungemia;8
Fusarium ear blight;2
Galactorrhea;2
Galactose epimerase deficiency;6
Galactose-1-phosphate uridylyltransferase deficiency;8
Galeazzi fracture;3
Gallbladder cancer;13
Gallbladder polyp;2
Galloway Mowat syndrome;3
Gallstone;15
Gangliocytic paraganglioma;3
Ganglioglioma;3
Ganglion cyst;7
Ganglioneuroma;13
Gangrene;13
Ganser syndrome;11
GAPO syndrome;4
Gardner's syndrome;1
Gas gangrene;3
Gastric antral vascular ectasia;6
Gastric dilatation volvulus;17
Gastric outlet obstruction;12
Gastric varices;13
Gastric volvulus;3
Gastrinoma;2
Gastritis;19
Gastroenteritis;27
Gastroesophageal reflux disease;36
Gastrointestinal bleeding;10
Gastrointestinal perforation;17
Gastrointestinal stromal tumor;18
Gastroparesis;29
Gastroschisis;1
Gaucher's disease;27
Gender disparities in health;10
Gender dysphoria;9
General paresis of the insane;27
Generalized anxiety disorder;35
Generalized epilepsy with febrile seizures plus;5
Generalized pustular psoriasis;9
Genetic disorder;3
Genetic load;2
Geniculate ganglionitis;1
Genital herpes;15
Genital wart;10
Genitopatellar syndrome;7
Genu recurvatum;10
Genu valgum;2
Genu varum;4
Geographic tongue;21
Geotrichosis;5
Germ cell tumor;1
Germinal matrix hemorrhage;1
Germinoma;3
Gerodermia osteodysplastica;3
Gerstmann syndrome;5
Gerstmann–Sträussler–Scheinker syndrome;12
Gestational hypertension;16
Gestational pemphigoid;10
Gestational thrombocytopenia;14
Gestational trophoblastic disease;14
Gianotti–Crosti syndrome;6
Giant axonal neuropathy;2
Giant platelet disorder;13
Giant-cell arteritis;19
Giant-cell fibroma;1
Giant-cell tumor of bone;8
Giardiasis;23
Gigantism;3
Gilbert's syndrome;18
Gillespie syndrome;1
Gingival disease;1
Gingival enlargement;9
Gingivitis;20
Gitelman syndrome;11
Glanzmann's thrombasthenia;8
Glassy cell carcinoma of the cervix;5
Glaucoma;31
Glioblastoma;11
Glioma;14
Gliomatosis cerebri;9
Global aphasia;17
Glomerulonephritis;12
Glomus tumor;2
Glossitis;42
Glucagonoma;14
Glucocorticoid remediable aldosteronism;14
Glucose-6-phosphate dehydrogenase deficiency;13
Glucose-galactose malabsorption;6
Glut1 deficiency;30
Glutaric aciduria type 1;11
Glutathione synthetase deficiency;6
Glycerol kinase deficiency;12
Glycine encephalopathy;13
Glycogen storage disease type I;31
Glycogen storage disease type II;21
Glycogen storage disease type III;3
Glycogen storage disease type IX;5
Glycogen storage disease type V;10
GM1 gangliosidoses;25
GM2-gangliosidosis, AB variant;6
Gnathostomiasis;14
Goitre;16
Goldenhar syndrome;3
Golfer's elbow;3
Gomez and López-Hernández syndrome;3
Gonadal dysgenesis;2
Gonorrhea;12
Goodpasture syndrome;13
Gorham's disease;19
Gout;16
Gradenigo's syndrome;6
Graft-versus-host disease;12
Grandiose delusions;10
Granulocytosis;1
Granuloma annulare;6
Granuloma faciale;2
Granuloma inguinale;7
Granulomatosis with polyangiitis;27
Granulomatous amoebic encephalitis;3
Granulomatous mastitis;6
Granulosa cell tumour;2
Graves' disease;46
Graves' ophthalmopathy;23
Gravity anomaly;1
Gray baby syndrome;7
Gray matter heterotopia;2
Greater trochanteric pain syndrome;5
Griscelli syndrome;3
Griscelli syndrome type 2;3
Group B streptococcal infection;3
Groupthink;4
Growth hormone deficiency;19
Guanidinoacetate methyltransferase deficiency;5
Guillain–Barré syndrome;38
Gulf War syndrome;24
Gunther disease;7
Guttate psoriasis;1
Haemobilia;2
Haemophilia;24
Haemophilia A;8
Haemophilia B;5
Haemophilia C;6
Haemophilus meningitis;9
Haemorrhagic disease of the newborn;1
Hailey–Hailey disease;8
Haim–Munk syndrome;9
Hair loss;19
Hair tourniquet;3
HAIR-AN syndrome;18
Hairy cell leukemia;18
Hairy leukoplakia;8
Hajdu–Cheney syndrome;5
Hallermann–Streiff syndrome;1
Hallucination;20
Hallucinatory palinopsia;11
Hallucinogen persisting perception disorder;8
Hallux rigidus;4
Halo nevus;2
Hamartoma;7
Hamman's syndrome;5
Hammer toe;2
Hand eczema;9
Hand injury;2
Hand, foot, and mouth disease;14
Hand-foot-genital syndrome;4
Hangover;22
Harlequin syndrome;15
Harlequin-type ichthyosis;9
Hartnup disease;16
Hashimoto's thyroiditis;24
Hay–Wells syndrome;3
Head and lateral line erosion;1
Head and neck cancer;20
Head injury;51
Head lice infestation;3
Headache;73
Headache attributed to a substance or its withdrawal;1
Hearing;2
Hearing loss;43
Heart arrhythmia;16
Heart cancer;11
Heart failure;72
Heart failure with preserved ejection fraction;21
Heartburn;9
Heat burst;1
Heat stroke;12
Heat syncope;8
Heerfordt syndrome;1
Heinrich event;3
Helicobacter pylori;26
HELLP syndrome;36
Helminthiasis;6
Hemangioblastoma;1
Hemangioendothelioma;1
Hemangiopericytoma;1
Hemarthrosis;4
Hematemesis;7
Hematochezia;9
Hematocolpos;1
Hematoma;1
Hematometra;13
Hematosalpinx;4
Hematuria;40
Hemeralopia;9
Hemiballismus;14
Hemicrania continua;11
Hemifacial microsomia;1
Hemifacial spasm;5
Hemiparesis;30
Hemispatial neglect;16
Hemoglobin C;6
Hemoglobinemia;5
Hemoglobinuria;8
Hemolytic anemia;23
Hemolytic disease of the newborn;15
Hemolytic disease of the newborn (ABO);9
Hemolytic-uremic syndrome;25
Hemopericardium;12
Hemoperitoneum;5
Hemophagocytic lymphohistiocytosis;15
Hemorrhagic gastroenteritis;4
Hemorrhoid;23
Hemosiderosis;5
Hemosuccus pancreaticus;10
Hemothorax;15
Henoch–Schönlein purpura;30
Heparin-induced thrombocytopenia;19
Hepatic encephalopathy;56
Hepatic veno-occlusive disease;6
Hepatitis;70
Hepatitis A;15
Hepatitis B;18
Hepatitis C;23
Hepatitis E;14
Hepatoblastoma;3
Hepatocellular adenoma;11
Hepatocellular carcinoma;20
Hepatomegaly;4
Hepatorenal syndrome;15
Hepatosplenic T-cell lymphoma;5
Hepatotoxicity;7
Hereditary angioedema;14
Hereditary breast–ovarian cancer syndrome;1
Hereditary coproporphyria;9
Hereditary diffuse leukoencephalopathy with spheroids;7
Hereditary fructose intolerance;1
Hereditary hemorrhagic telangiectasia;51
Hereditary hyperbilirubinemia;1
Hereditary leiomyomatosis and renal cell cancer syndrome;4
Hereditary motor and sensory neuropathy;14
Hereditary multiple exostoses;5
Hereditary neuralgic amyotrophy;4
Hereditary nonpolyposis colorectal cancer;1
Hereditary pancreatitis;6
Hereditary persistence of fetal hemoglobin;1
Hereditary sensory and autonomic neuropathy type I;23
Hereditary spastic paraplegia;21
Hereditary spherocytosis;9
Hereditary stomatocytosis;3
Hermansky–Pudlak syndrome;11
Hernia;24
Herpangina;9
Herpes esophagitis;8
Herpes labialis;31
Herpes simplex;27
Herpes simplex keratitis;13
Herpes zoster ophthalmicus;11
Herpesviral encephalitis;5
Herpetic gingivostomatitis;12
Herpetic whitlow;6
Heterophoria;1
Heterotopic ossification;6
Heterotopic pregnancy;4
Heyde's syndrome;10
HFE hereditary haemochromatosis;49
Hiatal hernia;11
Hiatus hernia;11
Hibernoma;2
Hidradenitis;7
Hidradenitis suppurativa;10
High-altitude cerebral edema;13
High-altitude pulmonary edema;11
Highland Clearances;1
Hip dislocation;1
Hip dysplasia;6
Hip fracture;8
Hirschsprung's disease;6
Hirsutism;13
Histidinemia;5
Histiocytoma (dog);1
Histoplasmosis;17
Histotoxic hypoxia;5
Histrionic personality disorder;10
HIV-associated lipodystrophy;2
HIV/AIDS;28
Hives;23
Hodgkin's lymphoma;28
Holocarboxylase synthetase deficiency;7
Holoprosencephaly;7
Holt–Oram syndrome;5
Homelessness;11
Homocystinuria;11
Hoof wall separation disease;4
Hookworm infection;21
Horner's syndrome;14
Horseshoe kidney;8
Hospital-acquired infection;6
Howel–Evans syndrome;3
Hoyeraal-Hreidarsson syndrome;1
HPV-positive oropharyngeal cancer;10
Hughes–Stovin syndrome;4
Human cytomegalovirus;24
Human granulocytic anaplasmosis;20
Human herpesvirus 7;7
Human monocytotropic ehrlichiosis;10
Human papillomavirus infection;15
Humerus fracture;10
Humoral immune deficiency;6
Hunter syndrome;18
Huntington's disease;36
Hurler syndrome;18
Hürthle cell;1
Hwabyeong;18
Hydranencephaly;20
Hydroa vacciniforme;1
Hydrocele;10
Hydrocele testis;5
Hydrocephalus;31
Hydrolethalus syndrome;6
Hydronephrosis;23
Hydrops fetalis;15
Hydrosalpinx;12
Hymenolepiasis;17
Hyoid bone fracture;11
Hyper IgM syndrome;1
Hyper-IgD syndrome;4
Hyper-IgM syndrome type 1;1
Hyperacusis;10
Hyperaldosteronism;19
Hyperalgesia;5
Hyperammonemia;4
Hyperandrogenism;34
Hypercalcaemia;39
Hypercapnia;18
Hypercementosis;4
Hyperchloremic acidosis;3
Hypercholesterolemia;23
Hypercoagulability in pregnancy;3
Hyperdontia;2
Hyperekplexia;9
Hyperemesis gravidarum;28
Hypereosinophilic syndrome;10
Hyperestrogenism;9
Hyperglycemia;47
Hyperglycerolemia;14
Hypergonadotropic hypogonadism;7
Hypergymnasia;2
Hyperhidrosis;21
Hyperhomocysteinemia;9
Hyperimmunoglobulin E syndrome;9
Hyperinsulinemia;19
Hyperinsulinism;13
Hyperkalemia;19
Hyperkinetic disorder;4
Hypermagnesemia;20
Hypermobility (joints);26
Hypernasal speech;9
Hypernatremia;14
Hyperosmolar hyperglycemic state;32
Hyperparathyroidism;25
Hyperphenylalaninemia;4
Hyperphosphatemia;4
Hyperpigmentation;8
Hyperpituitarism;9
Hyperplasia;5
Hyperprolactinaemia;24
Hypersalivation;13
Hypersensitivity pneumonitis;26
Hypersomnia;3
Hypertension;59
Hypertensive emergency;21
Hypertensive encephalopathy;24
Hypertensive heart disease;22
Hypertensive kidney disease;18
Hypertensive leukoencephalopathy;6
Hypertensive retinopathy;12
Hyperthyroidism;64
Hypertrichosis;3
Hypertrichosis cubiti;1
Hypertriglyceridemia;15
Hypertrophic cardiomyopathy;14
Hypertrophic osteopathy;6
Hypertrophic scar;3
Hypertropia;8
Hypertryptophanemia;6
Hyperuricemia;14
Hyperventilation syndrome;6
Hypervitaminosis A;25
Hypervitaminosis D;9
Hypervolemia;12
Hyphema;2
Hypoactive sexual desire disorder;4
Hypoaldosteronism;1
Hypocalcaemia;29
Hypocapnia;6
Hypochondriasis;36
Hypochondrogenesis;6
Hypochondroplasia;3
Hypoestrogenism;4
Hypoglycemia;75
Hypogonadism;14
Hypogonadotropic hypogonadism;6
Hypohidrosis;14
Hypohidrotic ectodermal dysplasia;6
Hypokalemia;22
Hypokalemic acidosis;1
Hypokalemic periodic paralysis;2
Hypokinesia;1
Hypolipoproteinemia;4
Hypomagnesemia;33
Hypomagnesemia with secondary hypocalcemia;4
Hypomania;15
Hyponatremia;35
Hypoparathyroidism;21
Hypopharyngeal cancer;14
Hypophosphatasia;8
Hypophosphatemia;23
Hypopigmentation;1
Hypopituitarism;47
Hypoplastic left heart syndrome;13
Hypoplastic right heart syndrome;10
Hypoproteinemia;3
Hypoprothrombinemia;14
Hypospadias;2
Hypotension;36
Hypothermia;32
Hypothyroidism;50
Hypotrichosis with juvenile macular dystrophy;6
Hypouricemia;5
Hypovolemia;29
Hypoxia (medical);15
I-cell disease;10
Ichthyophthirius multifiliis;14
Ichthyosis;2
Ichthyosis bullosa of Siemens;4
Ichthyosis prematurity syndrome;6
Ichthyosis vulgaris;10
Ictal headache;5
Id reaction;12
Ideomotor apraxia;5
Idiopathic CD4+ lymphocytopenia;5
Idiopathic hypersomnia;23
Idiopathic intracranial hypertension;33
Idiopathic osteosclerosis;5
Idiopathic pulmonary fibrosis;20
Idiopathic pulmonary haemosiderosis;2
Idiopathic sclerosing mesenteritis;4
Idiopathic scrotal calcinosis;2
IgA nephropathy;26
IgG4-related disease;34
IgG4-related prostatitis;5
Ileus;19
Iliotibial band syndrome;2
Illusory palinopsia;13
Iminoglycinuria;8
Immersion foot syndromes;14
Immune thrombocytopenic purpura;14
Immunodeficiency;2
Impacted wisdom teeth;6
Impaction (animals);1
Impaired fasting glucose;10
Impaired glucose tolerance;6
Imperforate anus;1
Imperforate hymen;12
Impetigo;13
Impingement syndrome;9
Inborn error of metabolism;45
Inborn errors of metabolism;45
Incident stress;10
Incisional hernia;6
Inclusion body myositis;16
Incontinentia pigmenti;13
Indigestion;20
Infant respiratory distress syndrome;9
Infantile cortical hyperostosis;13
Infantile esotropia;10
Infantile neuroaxonal dystrophy;14
Infantile neuronal ceroid lipofuscinosis;3
Infantile Refsum disease;4
Infarction;3
Infection;24
Infectious bovine keratoconjunctivitis;2
Infectious mononucleosis;35
Infectious necrotic hepatitis;7
Infective endocarditis;35
Inferior vena cava syndrome;7
Inferiority complex;2
Infertility;11
Inflammatory bowel disease;24
Inflation;7
Influenza;38
Influenza A virus subtype H3N8;10
Influenza A virus subtype H5N1;16
Influenza A virus subtype H5N8;5
Influenza-like illness;8
Ingrown hair;3
Ingrown nail;6
Inguinal hernia;18
Iniencephaly;9
Insect bites and stings;8
Insomnia;40
Insulin resistance;18
Insulinoma;22
Intellectual disability;12
Intention tremor;28
Intermittent claudication;17
Intermittent explosive disorder;7
Intermittent hydrarthrosis;9
Internal bleeding;7
Internuclear ophthalmoplegia;6
Interrupted aortic arch;11
Intersex;8
Interstitial cystitis;28
Interstitial lung disease;10
Interstitial nephritis;14
Interstitial pregnancy;6
Intertrigo;10
Intestinal atresia;5
Intestinal capillariasis;5
Intestinal malrotation;6
Intestinal pseudo-obstruction;3
Intestinal pseudoobstruction;3
Intestinal spirochetosis;3
Intracerebral hemorrhage;12
Intracranial aneurysm;13
Intracranial hemorrhage;16
Intraductal papillary mucinous neoplasm;12
Intrahepatic cholestasis of pregnancy;13
Intranodal palisaded myofibroblastoma;1
Intraparenchymal hemorrhage;27
Intrauterine growth restriction;4
Intrauterine hypoxia;3
Intravascular large B-cell lymphoma;5
Intussusception (medical disorder);19
Invasive carcinoma of no special type;7
Invasive urothelial carcinoma;4
Inverted nipple;6
Iodine deficiency;13
Iron deficiency;25
Iron-deficiency anemia;41
Irregular sleep–wake rhythm;10
Irritable bowel syndrome;44
Irritant diaper dermatitis;8
Irukandji syndrome;11
Ischemic cardiomyopathy;11
Ischemic colitis;27
Ischemic hepatitis;8
Isodicentric 15;5
Isolated hypogonadotropic hypogonadism;6
Isosporiasis;7
Isovaleric acidemia;4
Itch;26
Jalili syndrome;5
Jamais vu;1
Janeway lesion;2
Jansen's metaphyseal chondrodysplasia;7
Jansky–Bielschowsky disease;3
Japanese encephalitis;21
Jargon aphasia;8
Jarisch–Herxheimer reaction;13
Jaundice;3
Jefferson fracture;3
Jervell and Lange-Nielsen syndrome;1
Jet lag;14
Joint dislocation;11
Joint effusion;5
Jones fracture;2
Joubert syndrome;10
Jumping Frenchmen of Maine;5
Junctional epidermolysis bullosa (medicine);5
Junctional epidermolysis bullosa (veterinary medicine);4
Junctional tachycardia;5
Juvenile cellulitis;18
Juvenile dermatomyositis;25
Juvenile idiopathic arthritis;43
Juvenile myelomonocytic leukemia;20
Juvenile myoclonic epilepsy;10
Juvenile polyposis syndrome;4
Kabuki syndrome;17
Kallmann syndrome;21
Kangri cancer;4
Kaposi's sarcoma;25
Kasabach–Merritt syndrome;5
Katz syndrome;3
Kaufman oculocerebrofacial syndrome;2
Kawasaki disease;98
Kayser–Fleischer ring;8
Kearns–Sayre syndrome;17
Keloid;7
Kennel cough;8
Keratoacanthoma;1
Keratoconus;14
Keratocystic odontogenic tumour;3
Keratosis pilaris;6
Kerion;1
Kernicterus;4
Ketoacidosis;8
Ketosis;11
Keutel syndrome;12
Kidney cancer;10
Kidney disease;23
Kidney failure;36
Kidney stone disease;30
Kidney tumour;4
Kikuchi disease;9
Kimura's disease;1
Klatskin tumor;5
Klebsiella pneumonia;6
Kleine–Levin syndrome;27
Kleptomania;14
Klinefelter syndrome;14
Klippel–Feil syndrome;7
Klippel–Trénaunay syndrome;13
Klumpke paralysis;10
Klüver–Bucy syndrome;7
Knee arthritis;7
Knee pain;17
Köhler disease;5
Kohlschütter-Tönz syndrome;9
Konzo;10
Koro (medicine);14
Korsakoff's syndrome;22
Kostmann syndrome;5
Krabbe disease;13
Krukenberg tumor;8
Kuru (disease);13
Kwashiorkor;20
Kyasanur Forest disease;7
Kyphoscoliosis;7
Kyphosis;2
Kyrle disease;9
La Crosse encephalitis;11
Labial fusion;9
Lábrea fever;2
Labyrinthine fistula;2
Labyrinthitis;8
Lactic acidosis;16
Lactose intolerance;14
Lacunar stroke;13
Laennec's cirrhosis;7
Lafora disease;16
Lambert–Eaton myasthenic syndrome;27
Lamellar ichthyosis;6
Laminitis;21
Landau–Kleffner syndrome;20
Langer mesomelic dysplasia;1
Langerhans cell histiocytosis;19
Langer–Giedion syndrome;3
Large for gestational age;3
Large granular lymphocytic leukemia;6
Large-cell lung carcinoma;2
Large-cell lung carcinoma with rhabdoid phenotype;1
Larsen syndrome;5
Laryngeal cancer;16
Laryngeal cyst;1
Laryngeal papillomatosis;12
Laryngitis;27
Laryngomalacia;7
Laryngospasm;9
Laryngotracheal stenosis;10
Lassa fever;37
Latent iron deficiency;4
Latent tuberculosis;20
Lateral medullary syndrome;25
Lateral meningocele syndrome;3
Lathyrism;3
Latrodectism;17
Lattice degeneration;1
Laurence–Moon syndrome;5
Le Fort fracture of skull;14
Lead poisoning;70
Learning disability;12
Leber's congenital amaurosis;4
Leber's hereditary optic neuropathy;8
Lecithin cholesterol acyltransferase deficiency;14
Left anterior fascicular block;2
Left axis deviation;2
Left bundle branch block;5
Left ventricular hypertrophy;5
