cui;medical_term;semantic_types
C0027617;Neonatal screening;diap
C0027686;Neovascularity;patf
C0027692;Nephelometry;lbpr
C0027697;Nephritis;dsyn
C0027706;Hereditary nephritis;dsyn
C0027707;Interstitial nephritis;dsyn
C0027709;Nephrocalcinosis;dsyn
C0027719;Nephrosclerosis;dsyn
C0027720;Nephrosis;dsyn
C0027721;Lipoid nephrosis;dsyn
C0027726;Nephrotic syndrome NOS;dsyn
C0027765;Nervous system disorders NOS;dsyn
C0027769;Nervousness;sosy
C0027773;Nesidioblastosis;dsyn
C0027794;Neural tube defect;fndg
C0027796;Neuralgia;sosy
C0027804;Neurasthenia;mobd
C0027813;Neuritis;dsyn
C0027821;Neurocirculatory asthenia;mobd
C0027822;Neurodermatitis;dsyn
C0027849;Neuroleptic malignant syndrome;dsyn
C0027853;Neurological examination;diap
C0027868;Neuromuscular disease, NOS;dsyn
C0027873;Neuromyelitis optica;dsyn
C0027877;Neuronal ceroid lipofuscinosis;dsyn
C0027888;Hereditary sensory-motor neuropathy;dsyn
C0027889;Hereditary sensory and autonomic neuropathy;dsyn
C0027902;Neuropsychological testing;diap
C0027927;Neurosyphilis;dsyn
C0027932;Neurotic disorder NOS;mobd
C0027947;Neutropenia;dsyn
C0028043;Nicotine dependence;mobd
C0028047;Nicotine withdrawal;mobd
C0028064;Niemann-Pick disease, NOS;dsyn
C0028077;Night blindness NOS;dsyn
C0028081;Night sweats;sosy
C0028084;Nightmares;sosy
C0028242;Nocardiosis NOS;dsyn
C0028258;Nodular vasculitis;dsyn
C0028271;Noma;dsyn
C0028326;Noonan syndrome;cgab,dsyn
C0028425;Crusted scabies;dsyn
C0028643;Numbness;sosy
C0028705;Nutcracker esophagus;dsyn
C0028734;Nocturia;dsyn
C0028738;Nystagmus;dsyn
C0028754;Obesity;dsyn
C0028756;Morbid obesity;dsyn
C0028768;Obsessive-compulsive disorder NOS;mobd
C0028778;Obstruction;patf
C0028792;Occult blood screening;diap
C0028797;Occupational disorder;dsyn
C0028817;Ochronosis;dsyn
C0028840;Ocular hypertension;dsyn
C0028841;Ocular hypotony;dsyn
C0028848;Ocular larva migrans;dsyn
C0028850;Disorder of eye movements;dsyn
C0028856;Ocular torticollis;dsyn
C0028860;Oculocerebrorenal syndrome;dsyn
C0028866;Oculomotor nerve palsy;dsyn
C0028949;Oligomenorrhea;patf
C0028961;Oliguria;dsyn
C0028968;Olivopontocerebellar atrophy;dsyn
C0028992;Omphalitis;dsyn
C0029001;Onchocerciasis;dsyn
C0029002;Ocular onchocerciasis;dsyn
C0029051;Oophoritis;dsyn
C0029053;Decreased translucency;fndg
C0029076;Ophthalmia neonatorum, NOS;dsyn
C0029077;Sympathetic ophthalmia;dsyn
C0029089;Ophthalmoplegia;sosy
C0029090;Ophthalmoscopy;diap
C0029100;Opioid intoxication;mobd
C0029104;Opioid withdrawal;mobd
C0029106;Opisthorchiasis;dsyn
C0029118;Opportunistic infectious disease, NOS;dsyn
C0029121;Oppositional defiant disorder;mobd
C0029124;Optic atrophy NOS;dsyn
C0029125;Hereditary optic atrophy NOS;cgab,dsyn
C0029128;Drusen of optic disc;dsyn
C0029132;Disorder of optic nerve;dsyn
C0029134;ON - Optic neuritis;dsyn
C0029163;Oral hemorrhage;fndg
C0029172;Oral submucous fibrosis;dsyn
C0029182;Disorder of orbit;dsyn
C0029191;Orchitis;patf
C0029221;Organic brain syndrome;dsyn
C0029227;Organic mental disorder;mobd
C0029266;Orientation, NOS;menp
C0029291;Psittacosis;dsyn
C0029307;Oroya fever;dsyn
C0029375;Oscillometry;diap
C0029376;Juvenile osteochondrosis of tibial tubercle;dsyn
C0029392;Osmotic fragility;lbpr
C0029396;Heterotopic ossification;patf
C0029400;Osteitis;dsyn
C0029401;Osteitis deformans;dsyn
C0029405;Osteitis fibrosa cystica;dsyn
C0029408;Degenerative polyarthritis;dsyn
C0029410;Osteoarthritis of hip;dsyn
C0029411;Primary hypertrophic osteoarthropathy;dsyn
C0029412;Secondary hypertrophic osteoarthropathy;dsyn
C0029420;Osteochondritis;dsyn
C0029421;Osteochondritis dissecans;dsyn
C0029422;Osteochondrodysplasia, NOS;cgab,dsyn
C0029427;Synovial osteochondromatosis;dsyn
C0029434;Osteogenesis imperfecta NOS;cgab,dsyn
C0029438;Massive osteolysis;dsyn
C0029442;Osteomalacia;dsyn
C0029443;Osteomyelitis;dsyn
C0029445;Bone necrosis;patf
C0029453;Osteopenia;dsyn
C0029454;Osteopetrosis;dsyn
C0029455;Osteopoikilosis (disorder);dsyn
C0029456;Osteoporosis;dsyn
C0029461;Osteoradionecrosis;patf
C0029464;Osteosclerosis;dsyn
C0029878;Otitis externa NOS;dsyn
C0029882;Otitis media NOS;dsyn
C0029883;Otitis media with effusion;dsyn
C0029895;Otomycosis;dsyn
C0029899;Otosclerosis;dsyn
C0029927;Ovarian cysts;dsyn
C0029928;Ovarian disorder;dsyn
C0030044;Acrocephaly;cgab
C0030105;Ozena (disorder);dsyn
C0030167;Pachymeningitis;dsyn
C0030193;Pain;sosy
C0030196;Pain in limb;sosy
C0030198;Pain assessment;diap
C0030201;Postoperative pain;sosy
C0030214;Palatal myoclonus;sosy
C0030232;Pallor;fndg
C0030246;Acropustulosis;dsyn
C0030247;Palpation;diap
C0030252;Palpitations;fndg
C0030283;Pancreatic cyst;dsyn
C0030286;Disorder of pancreas, NOS;dsyn
C0030290;Pancreatic fistula;dsyn
C0030291;Pancreatic function test;lbpr
C0030299;Pancreatic pseudocyst;dsyn
C0030305;Pancreatitis;dsyn
C0030312;Pancytopenia;dsyn
C0030318;Panic;fndg
C0030319;Panic disorder;mobd
C0030326;Panniculitis;dsyn
C0030327;Lupus erythematosus profundus;dsyn
C0030328;Weber - Christian disease;dsyn
C0030331;Subacute nodular migratory panniculitis;dsyn
C0030332;Panophthalmitis;dsyn
C0030343;Panuveitis;dsyn
C0030353;Papilledema;dsyn
C0030360;Papillon-Lefevre syndrome;dsyn
C0030389;Parainfluenza;dsyn
C0030409;Paracoccidioidomycosis;dsyn
C0030424;Paragonimiasis;dsyn
C0030436;Parakeratosis;dsyn
C0030442;Progressive bulbar palsy;dsyn
C0030443;Familial periodic paralysis, NOS;dsyn
C0030446;Paralytic ileus;dsyn
C0030469;Disease of accessory sinus;dsyn
C0030477;Paranoid personality disorder;mobd
C0030481;Tropical spastic paraparesis;dsyn
C0030482;Paraphilia, NOS;mobd
C0030483;Paraphimosis;dsyn
C0030484;Paraphrenia;mobd
C0030486;Paraplegia;dsyn
C0030489;Paraproteinaemia NOS;dsyn
C0030491;Parapsoriasis;dsyn
C0030499;Parasitic diseases;dsyn
C0030508;Parasomnia;dsyn
C0030517;Parathyroid disease;dsyn
C0030524;Paratuberculosis;dsyn
C0030528;Paratyphoid fever NOS;dsyn
C0030552;Paresis;sosy
C0030554;Paresthesia;dsyn
C0030563;Parity;fndg
C0030567;Parkinson disease;dsyn
C0030578;Paronychia;dsyn
C0030583;Parotitis;dsyn
C0030590;Paroxysmal supraventricular tachycardia;dsyn
C0030605;Activated partial thromboplastin time;lbpr
C0030612;Parturient paresis;dsyn
C0030631;Passive-aggressive personality disorder;mobd
C0030646;Patch test;diap
C0030660;Pathological process;patf
C0030662;Pathological gambling;mobd
C0030756;Louse infestation;dsyn
C0030757;Pediculus capitis infestation;dsyn
C0030758;Body louse infestation;dsyn
C0030759;Infestation by Phthirus pubis;dsyn
C0030764;Pedophilia;mobd
C0030779;Pelger-Huet anomaly;dsyn
C0030781;Peliosis hepatis;dsyn
C0030783;Pellagra;dsyn
C0030785;Pelvic abscess;dsyn
C0030790;Infection of pelvis;dsyn
C0030794;Pelvic pain, NOS;sosy
C0030796;Pelvimetry;diap
C0030804;Benign mucous membrane pemphigoid NOS;dsyn
C0030805;Bullous pemphigoid;dsyn
C0030807;Pemphigus;dsyn
C0030809;Pemphigus vulgaris;dsyn
C0030824;Allergy to penicillin;dsyn
C0030848;Peyronie's disease;dsyn
C0030920;Peptic ulcer NOS;dsyn
C0030925;Peptic ulcer with perforation;dsyn
C0030971;Perception;menp
C0030987;Percussion;diap
C0031019;Perianal abscess;dsyn
C0031022;Chronic peri-aortitis;dsyn
C0031024;Periapical abscess;dsyn
C0031029;Periapical granuloma;dsyn
C0031030;Apical periodontitis;dsyn
C0031034;Periappendicitis;dsyn
C0031036;Polyarteritis nodosa NOS;dsyn
C0031037;Periarthritis;dsyn
C0031039;Pericardial effusion;dsyn
C0031046;Pericarditis;dsyn
C0031048;Constrictive pericarditis NOS;dsyn
C0031049;Tuberculous pericarditis;dsyn
C0031053;Perichondritis;dsyn
C0031055;Pericoronitis;dsyn
C0031061;Perimetry;diap
C0031069;Familial Mediterranean fever;dsyn
C0031085;Periodontal abscess;dsyn
C0031090;Periodontal disease, NOS;dsyn
C0031099;Periodontitis;dsyn
C0031111;Periostitis;dsyn
C0031117;Peripheral neuropathy, NOS;dsyn
C0031150;Laparoscopy;diap
C0031154;Peritonitis;dsyn
C0031157;Peritonsillar abscess;dsyn
C0031159;Periungual wart;dsyn
C0031190;Persistent fetal circulation syndrome;cgab,dsyn
C0031192;Persistent ostium primum;cgab
C0031206;Personal satisfaction;fndg
C0031208;Personality;menp
C0031209;Personality assessment;diap
C0031212;Personality disorders;mobd
C0031256;Petechiae;dsyn
C0031269;Peutz-Jeghers syndrome;dsyn
C0031315;Phantom limb syndrome;dsyn
C0031345;Disease of pharynx, NOS;dsyn
C0031350;Pharyngitis;dsyn
C0031391;Phencyclidine abuse;mobd
C0031485;Phenylketonuria;dsyn
C0031538;Phimosis;fndg
C0031542;Phlebitis;dsyn
C0031545;Venography - procedure;diap
C0031556;Phlegmasia alba dolens;dsyn
C0031557;Phlegmon;patf
C0031570;School phobia;mobd
C0031572;Social phobia, NOS;mobd
C0031575;Phocomelia;cgab
C0031707;Disorders of phosphorus metabolism;dsyn
C0031734;Photic stimulation;diap
C0031736;Polymorphous light eruption;dsyn
C0031753;Photomicrography;lbpr
C0031873;Abnormal craving;mobd
C0031880;Hypoventilation associated with obesity syndrome;dsyn
C0031900;Pierre Robin syndrome;cgab
C0031946;Pinta;dsyn
C0032001;Pituitary apoplexy;dsyn
C0032002;Pituitary disease;dsyn
C0032026;Pityriasis rosea;dsyn
C0032027;Pityriasis rubra pilaris;dsyn
C0032044;Placenta accreta, NOS;patf
C0032045;Disorder of placenta;patf
C0032046;Placenta praevia;patf
C0032051;Placental insufficiency;dsyn
C0032059;Placentitis (disorder);patf
C0032064;Plague;dsyn
C0032074;Cognitive function: planning;menp
C0032181;Platelet count NOS;lbpr
C0032197;Storage pool deficiency;dsyn
C0032209;Platybasia;cgab
C0032221;Plethysmography;diap
C0032224;Total body plethysmography;diap
C0032226;Pleural disorder;dsyn
C0032227;Pleural effusion NOS;dsyn
C0032230;Pleural rub;fndg
C0032231;Pleurisy;dsyn
C0032238;Epidemic pleurodynia;dsyn
C0032249;Plummer - Vinson syndrome;dsyn
C0032266;Pneumatosis cystoides intestinalis;dsyn
C0032269;Pneumococcal infection, NOS;dsyn
C0032273;Pneumoconiosis;dsyn
C0032279;Pneumoencephalography;diap
C0032285;Pneumonia;dsyn
C0032290;Aspiration pneumonia, NOS;dsyn
C0032298;Lipid pneumonia;dsyn
C0032300;Lobar pneumonia;dsyn
C0032302;Mycoplasma pneumonia;dsyn
C0032310;Viral pneumonia NOS;dsyn
C0032319;Pneumopericardium;dsyn
C0032320;Pneumoperitoneum;dsyn
C0032326;Pneumothorax;dsyn
C0032339;Rothmund-Thomson syndrome;dsyn
C0032357;Poland syndrome;cgab,dsyn
C0032371;Poliomyelitis;dsyn
C0032372;Anterior acute poliomyelitis;dsyn
C0032453;Relapsing polychondritis;dsyn
C0032460;Polycystic ovary syndrome;dsyn
C0032461;Polycythemia;dsyn
C0032533;Polymyalgia rheumatica;dsyn
C0032541;Polyneuritis;dsyn
C0032568;Inflammatory polyp;dsyn
C0032586;Polyradiculopathy;dsyn
C0032587;Polyradiculoneuropathy;dsyn
C0032606;Polysubstance dependence;mobd
C0032617;Polyuria;sosy
C0032633;Vesicular eczema of hands and/or feet;dsyn
C0032646;Poor compliance;fndg
C0032691;Intramural calcification of gallbladder;dsyn
C0032708;Disorders of porphyrin metabolism;dsyn
C0032739;Mantoux: positive;lbtr
C0032743;Positron emission tomography;diap
C0032749;Post-kala-azar dermal leishmaniasis;dsyn
C0032768;Postherpetic neuralgia;dsyn
C0032776;Postmenopausal bleeding;patf
C0032781;Posterior rhinorrhea;sosy
C0032787;Postoperative complication;patf
C0032788;Postoperative hemorrhage;patf
C0032797;Postpartum haemorrhage NOS;patf
C0032805;Postcardiotomy syndrome;dsyn
C0032816;Post-traumatic headache;patf
C0032827;Potassium deficiency;dsyn
C0032870;Poxvirus infection;dsyn
C0032897;Prader-Willi Syndrome;cgab
C0032914;Pre-eclampsia NOS;patf
C0032962;Pregnancy complication NOS;dsyn
C0032967;History of - pregnancy;fndg
C0032968;Teenage pregnancy;fndg
C0032976;Pregnancy test;diap
C0032984;Abdominal pregnancy;dsyn
C0032987;Ectopic pregnancy NOS;dsyn
C0032989;Multiple pregnancy NOS;fndg
C0032991;Ovarian pregnancy;dsyn
C0032992;Planned pregnancy;fndg
C0032993;Prolonged pregnancy NOS;patf
C0032994;Tubal pregnancy NOS;dsyn
C0032995;Unwanted pregnancy;fndg
C0033036;Atrial premature complex;fndg
C0033038;Premature ejaculation;patf
C0033046;Premenstrual syndrome;dsyn
C0033074;Presbycusis;patf
C0033075;Presbyopia;dsyn
C0033081;Drug prescription;inpr
C0033103;Pretibial myxedema;dsyn
C0033117;Priapism;dsyn
C0033138;Primary hypersomnia;mobd
C0033139;Primary insomnia;dsyn
C0033141;Primary cardiomyopathy;dsyn
C0033150;Primiparity;fndg
C0033211;Problem solving;menp
C0033213;Problem;fndg
C0033246;Proctitis;dsyn
C0033247;Proctocolitis;dsyn
C0033251;Proctoscopy;diap
C0033252;Proctosigmoiditis;dsyn
C0033300;Progeria;dsyn
C0033324;Prognathism;cgab
C0033363;Projection;menp
C0033377;Ptosis;dsyn
C0033575;Prostate disease;dsyn
C0033581;Prostatitis NOS;dsyn
C0033677;Protein-energy malnutrition;patf
C0033680;Protein-losing enteropathy;dsyn
C0033687;Proteinuria;fndg
C0033707;Quick one stage prothrombin time;lbpr
C0033740;Protozoan infection;dsyn
C0033770;Prune belly syndrome;cgab,dsyn
C0033771;Prurigo;dsyn
C0033774;Pruritus;sosy
C0033775;Pruritus ani;sosy
C0033778;Pruritus vulvae;sosy
C0033785;Pseudarthrosis;patf
C0033788;Pseudo-Hurler polydystrophy;dsyn
C0033790;Pseudobulbar palsy;dsyn
C0033797;Pseudodementia;mobd
C0033802;Pseudogout;dsyn
C0033804;Pseudohermaphroditism;cgab
C0033806;Pseudohypoparathyroidism;dsyn
C0033831;Psychological pseudocyesis;mobd
C0033835;Pseudopseudohypoparathyroidism;dsyn
C0033838;Kimura disease;dsyn
C0033839;Pseudorabies;dsyn
C0033845;Pseudotumor cerebri;dsyn
C0033847;Pseudoxanthoma elasticum;cgab,dsyn
C0033860;Psoriasis;dsyn
C0033893;Tension headache;dsyn
C0033905;Psychological testing NOS;diap
C0033920;Psychometric testing;diap
C0033931;Psychophysiologic disorder, NOS;mobd
C0033936;Alcoholic psychoses;mobd
C0033937;Drug psychosis;mobd
C0033948;Female orgasmic disorder;mobd
C0033953;Psychosexual disorder NOS;mobd
C0033958;Brief reactive psychosis;mobd
C0033975;Psychotic disorder;mobd
C0033999;Pterygium;dsyn
C0034012;Delayed puberty NOS;patf
C0034013;Precocious puberty;dsyn
C0034036;Printed material;inpr,mnob
C0034040;Disorder of puerperium;dsyn
C0034050;Pulmonary alveolar proteinosis;dsyn
C0034063;Pulmonary edema NOS;dsyn
C0034065;Pulmonary embolism;dsyn
C0034067;Pulmonary emphysema, NOS;dsyn
C0034068;Pulmonary eosinophilia NOS;dsyn
C0034069;Pulmonary fibrosis;dsyn
C0034072;Cor pulmonale;dsyn
C0034074;Pulmonary infarction;dsyn
C0034088;Pulmonary valve insufficiency, NOS;patf
C0034089;Pulmonary valve stenosis;anab,dsyn
C0034091;Pulmonary veno-occlusive disease;dsyn
C0034103;Pulpitis;dsyn
C0034108;Pulse oximetry;diap
C0034150;Purpura;dsyn
C0034152;Henoch-Schoenlein purpura;dsyn
C0034155;Thrombotic thrombocytopenic purpura;dsyn
C0034183;Pyelitis;dsyn
C0034186;Pyelonephritis;dsyn
C0034188;Xanthogranulomatous pyelonephritis;dsyn
C0034194;Pyloric stenosis;patf
C0034212;Pyoderma;dsyn
C0034215;Pyometra;dsyn
C0034216;Pyonephrosis;dsyn
C0034220;Pyosalpinx;dsyn
C0034341;Pyruvate carboxylase deficiency;dsyn
C0034345;Pyruvate dehydrogenase complex deficiency;dsyn
C0034359;Pyuria;dsyn
C0034362;Q fever;dsyn
C0034372;Quadriplegia;dsyn
C0034494;Rabies (disorder);dsyn
C0034544;Radiculitis;dsyn
C0034554;Radioallergosorbent test;lbpr
C0034573;Radiologic examination of abdomen;diap
C0034575;Dental radiography;diap
C0034579;Orthopantogram;diap
C0034580;Radioimmunoassay;lbpr
C0034606;Nuclear medicine;diap
C0034642;Rales;sosy
C0034686;Rat-bite fever NOS;dsyn
C0034692;Rationalization - mental defense mechanism;menp
C0034734;Raynaud disease;dsyn
C0034735;Raynaud phenomenon;dsyn
C0034763;Reality testing;menp
C0034880;Hyperacusis;sosy
C0034882;Rectal disorder;dsyn
C0034886;Rectal pain;sosy
C0034888;Rectal prolapse NOS;dsyn
C0034902;Pure red cell aplasia;dsyn
C0034931;Reflex sympathetic dystrophy;dsyn
C0034933;Abnormal reflex, NOS;sosy
C0034934;Acoustic reflex;diap
C0034935;Babinski sign;fndg
C0034936;Conditioned reflex;menp
C0034951;Refractive error, NOS;dsyn
C0034960;Refsum's disease;dsyn
C0035012;Reiter's syndrome;dsyn
C0035021;Relapsing fever NOS;dsyn
C0035022;Tick-borne relapsing fever;dsyn
C0035067;Renal artery stenosis, NOS;dsyn
C0035078;Renal insufficiency;dsyn
C0035085;Renal infarction;dsyn
C0035086;Renal osteodystrophy NOS;dsyn
C0035127;Repetitive strain injury;dsyn
C0035143;Repression;menp
C0035204;Respiratory disorder, NOS;dsyn
C0035220;Respiratory distress syndrome in the newborn;dsyn
C0035222;Adult respiratory distress syndrome, NOS;dsyn
C0035229;Respiratory insufficiency, NOS;patf
C0035232;Diaphragmatic paralysis;fndg
C0035235;Respiratory syncytial virus infection, NOS;dsyn
C0035238;Congenital abnormality of respiratory system;cgab
C0035243;Respiratory tract infection;dsyn
C0035258;Restless legs syndrome;dsyn
C0035269;Restriction enzyme analysis;lbpr,mbrt
C0035302;Retinal artery occlusion;dsyn
C0035304;Retinal degeneration, NOS;patf
C0035305;Retinal detachment NOS;dsyn
C0035309;Retinal disease;dsyn
C0035313;Retinal dysplasia;cgab
C0035317;Hemorrhage - retinal;patf
C0035320;Retinal neovascularization;patf
C0035321;Retinal break;dsyn
C0035333;Retinitis;dsyn
C0035334;Retinitis pigmentosa;dsyn
C0035344;Retinopathy of prematurity;dsyn
C0035345;Retirement;fndg
C0035353;Congenital retrognathism;cgab,dsyn
C0035357;Retroperitoneal fibrosis;patf
C0035369;Retrovirus infection;dsyn
C0035372;Rett syndrome;dsyn
C0035400;Reye syndrome;dsyn
C0035404;Rhesus isoimmunization;dsyn
C0035410;Rhabdomyolysis;patf
C0035435;Rheumatism;dsyn
C0035436;Rheumatic fever, NOS;dsyn
C0035439;Rheumatic heart disease NOS;dsyn
C0035455;Rhinitis;dsyn
C0035457;Perennial allergic rhinitis;dsyn
C0035459;Atrophic rhinitis;dsyn
C0035460;Vasomotor rhinitis, NOS;dsyn
C0035466;Rhinophyma;dsyn
C0035468;Rhinoscleroma;dsyn
C0035508;Rhonchi;fndg
C0035528;Riboflavin deficiency;dsyn
C0035579;Rickets;dsyn
C0035585;Rickettsial disease;dsyn
C0035597;Rickettsialpox;dsyn
C0035613;Rift valley fever;dsyn
C0035615;Right aortic arch (disorder);cgab
C0035637;Rinderpest;dsyn
C0035793;Rocky mountain spotted fever;dsyn
C0035828;Romano-Ward syndrome;dsyn
C0035854;Rosacea;dsyn
C0035863;Rosette formation;fndg
C0035865;Ross river fever;dsyn
C0035869;Rotavirus infection;dsyn
C0035920;Rubella;dsyn
C0035921;Congenital rubella syndrome;cgab,dsyn
C0035934;Rubinstein-Taybi syndrome;cgab,dsyn
C0035956;Spontaneous rupture;patf
C0035965;Russell viper venom time;lbpr
C0036039;Sadism;mobd
C0036069;Short-rib syndrome, type I;cgab,dsyn
C0036089;Calculus of salivary duct;patf
C0036091;Sialolithiasis;dsyn
C0036093;Salivary gland disease;dsyn
C0036117;Salmonella infection NOS;dsyn
C0036130;Salpingitis;dsyn
C0036161;Sandhoff disease;dsyn
C0036202;Sarcoidosis;dsyn
C0036203;Cutaneous sarcoidosis;dsyn
C0036205;Pulmonary sarcoidosis;dsyn
C0036239;Satiety;menp
C0036262;Scabies;dsyn
C0036285;Scarlet fever;dsyn
C0036305;Schambergs disease;dsyn
C0036310;Scheuermann's disease;dsyn
C0036313;Schilling test;diap
C0036323;Schistosomiasis;dsyn
C0036337;Schizoaffective disorder, NOS;mobd
C0036339;Schizoid personality disorder NOS;mobd
C0036341;Schizophrenia;mobd
C0036344;Catatonic schizophrenia NOS;mobd
C0036346;Childhood schizophrenia NOS;mobd
C0036347;Disorganized schizophrenia;mobd
C0036349;Paranoid schizophrenia NOS;mobd
C0036358;Schizophreniform disorder, NOS;mobd
C0036363;Schizotypal personality disorder;mobd
C0036391;Schwartz-Jampel syndrome;cgab,dsyn
C0036396;Sciatica;sosy
C0036400;Scimitar syndrome;cgab
C0036413;Scleredema;dsyn
C0036415;Sclerema neonatorum NOS;cgab
C0036416;Scleritis;dsyn
C0036420;Localized scleroderma;dsyn
C0036421;Systemic scleroderma;dsyn
C0036429;Sclerosis;patf
C0036454;Scotoma;fndg
C0036457;Scrapie;dsyn
C0036467;Scrofula;dsyn
C0036472;Scrub typhus;dsyn
C0036474;Scurvy;dsyn
C0036489;Sea-blue histiocyte syndrome;dsyn
C0036494;Sea sickness;dsyn
C0036508;Seborrheic dermatitis;dsyn
C0036529;Secondary cardiomyopathy NOS;dsyn
C0036572;Convulsions;sosy
C0036597;Self-esteem;menp
C0036674;Sensory deprivation;fndg
C0036679;Diastasis;patf
C0036685;Gram negative sepsis;dsyn
C0036686;Gram positive sepsis;dsyn
C0036689;Streptococcal sore throat;dsyn
C0036690;Septicemia;dsyn
C0036743;Serologic test;lbpr
C0036749;Serositis;patf
C0036776;Serum alkaline phosphatase measurement;lbpr
C0036830;Serum sickness;dsyn
C0036857;Severe mental retardation (I.Q. 20-34);mobd
C0036888;Sexual offence;mobd
C0036908;Sexual masochism;mobd
C0036913;Sexual sadism;mobd
C0036916;Sexually transmitted diseases;dsyn
C0036939;Shared paranoid disorder;mobd
C0036973;Shivering;fndg
C0036974;Shock;patf
C0036980;Cardiogenic shock;patf
C0036981;Endotoxic shock;patf
C0036982;Hemorrhagic shock;patf
C0036983;Septic shock;patf
C0036992;Short bowel syndrome;dsyn
C0037011;Shoulder pain;sosy
C0037019;Shy-Drager syndrome;dsyn
C0037023;Sialadenitis;dsyn
C0037036;Sialorrhea;dsyn
C0037050;Sick building syndrome;dsyn
C0037052;Sick sinus syndrome;dsyn
C0037054;Sickle cell trait;dsyn
C0037061;Siderosis;dsyn
C0037075;Sigmoidoscopy (procedure);diap
C0037088;Clinical finding;sosy
C0037090;Respiratory symptom;sosy
C0037116;Silicosis;dsyn
C0037118;Silicotuberculosis;dsyn
C0037140;Simian B disease;dsyn
C0037154;Simple atrophy;patf
C0037176;Single gene defect;dsyn
C0037188;Sinoatrial block, NOS;dsyn
C0037195;Sinus headache;fndg
C0037199;Sinusitis;dsyn
C0037205;Sirenomelia;cgab,dsyn
C0037221;Situs inversus NOS;cgab
C0037231;Sjogren-Larsson's syndrome;cgab,dsyn
C0037268;Congenital cutaneous anomaly;dsyn
C0037274;Skin disease;dsyn
C0037277;Genodermatosis, NOS;dsyn
C0037278;Infection of skin;dsyn
C0037280;Parasitic infection of skin;dsyn
C0037284;Skin lesion;dsyn
C0037296;Hypersensitivity skin testing;diap
C0037299;Skin ulcer;dsyn
C0037301;Wrinkled skin;fndg
C0037315;Sleep apnea syndrome;dsyn
C0037316;Sleep deprivation;fndg
C0037317;Disturbance in sleep behavior;sosy
C0037320;Night terrors;mobd
C0037322;REM sleep;menp
C0037354;Smallpox;dsyn
C0037357;Hemorrhagic smallpox;dsyn
C0037358;Modified smallpox;dsyn
C0037383;Sneezing;fndg
C0037384;Snoring;sosy
C0037420;Social interaction;fndg
C0037431;Social problem;fndg
C0037580;Soft tissue swelling;dsyn
C0037585;Software;inpr,mnob
C0037650;Somatoform disorder;mobd
C0037672;Somnambulism;dsyn
C0037763;Spasm;sosy
C0037769;West syndrome;dsyn
C0037771;Spastic paraparesis;sosy
C0037772;Spastic paraplegia;dsyn
C0037773;Hereditary spastic paraplegia;dsyn
C0037793;Specimen processing (procedure);lbpr
C0037805;Spectrophotometric measurement;lbpr
C0037813;Mass spectrometry;lbpr
C0037856;Torsion of spermatic cord;dsyn
C0037859;Spermatocele;dsyn
C0037886;Sphenoidal sinusitis;dsyn
C0037889;Hereditary spherocytosis;dsyn
C0037899;Sphingolipidosis, NOS;dsyn
C0037926;Compression of spinal cord;dsyn
C0037928;Disease of spinal cord;dsyn
C0037933;Disorder of spine;dsyn
C0037952;Spinocerebellar disease NOS;dsyn
C0037974;Spirochetosis, NOS;dsyn
C0037981;Spirometry;diap
C0037997;Splenic disease;dsyn
C0037998;Splenic infarction;dsyn
C0038002;Splenomegaly;fndg
C0038012;Spondylitis;dsyn
C0038013;Ankylosing spondylitis;dsyn
C0038016;Spondylolisthesis;dsyn
C0038017;Congenital spondylolisthesis;cgab
C0038018;Spondylolysis;dsyn
C0038019;Spondylosis;dsyn
C0038034;Sporotrichosis;dsyn
C0038041;Spotted fevers;dsyn
C0038044;Spousal abuse;mobd
C0038054;Tropical sprue;dsyn
C0038131;Stammering;mobd
C0038138;Stanford-Binet test;diap
C0038160;Staphylococcal infection, NOS;dsyn
C0038165;Staphylococcal scalded skin syndrome;dsyn
C0038187;Starvation;fndg
C0038218;Status asthmaticus NOS;dsyn
C0038220;Status epilepticus;dsyn
C0038238;Steatorrhea;fndg
C0038271;Stereotyped behavior;mobd
C0038273;Stereotypic movement disorder;mobd
C0038325;Stevens Johnson syndrome;dsyn
C0038354;Stomach diseases;dsyn
C0038358;Gastric ulcer;dsyn
C0038359;Volvulus of stomach;dsyn
C0038362;Stomatitis;dsyn
C0038363;Aphthous stomatitis;dsyn
C0038364;Denture stomatitis;dsyn
C0038366;Herpes stomatitis;dsyn
C0038379;Strabismus;dsyn
C0038395;Streptococcal infection, NOS;dsyn
C0038435;Stress;fndg
C0038436;Post-traumatic stress disorder;mobd
C0038443;Psychological stress;mobd
C0038449;Stricture of artery;patf
C0038450;Stridor;sosy
C0038454;Cerebrovascular accident;dsyn
C0038463;Strongyloidiasis;dsyn
C0038505;Sturge-Weber syndrome;cgab
C0038506;Stuttering;mobd
C0038522;Subacute sclerosing panencephalitis;dsyn
C0038525;Subarachnoid haemorrhage NOS;dsyn
C0038531;Subclavian steal syndrome;dsyn
C0038534;Subconjunctival hemorrhage;patf
C0038535;Subconscious mind;menp
C0038536;Subcutaneous emphysema;patf
C0038539;Subdural empyema;dsyn
C0038565;Subphrenic abscess;dsyn
C0038577;Drugs of abuse screen;lbpr
C0038580;Substance dependence;mobd
C0038605;Subungual hyperkeratosis;dsyn
C0038644;Sudden infant death syndrome;dsyn
C0038661;Suicide;fndg
